Key,SourceString
SYSTXT_FIELD_PROCESS_SYS_00010,"ここで　ドルボードに<lf>乗ることはできない！"
SYSTXT_FIELD_PROCESS_SYS_01010,"{pc}は　毒をうけた。"
SYSTXT_FIELD_PROCESS_SYS_01020,"{pc}の　毒がきえた。"
SYSTXT_FIELD_PROCESS_SYS_01030,"{pc}たちは　毒をうけた。"
SYSTXT_FIELD_PROCESS_SYS_01040,"{pc}たちの　毒がきえた。"
SYSTXT_FIELD_PROCESS_SYS_01050,"{pc}の　呪いがとけた。"
SYSTXT_FIELD_PROCESS_SYS_02010,"温泉の効果で　ＨＰが回復するようになった！"
SYSTXT_FIELD_PROCESS_SYS_02020,"温泉の効果が　きえた。"
SYSTXT_FIELD_PROCESS_SYS_03010,"たまにテンションアップ"
SYSTXT_FIELD_PROCESS_SYS_03020,"リホイミの効果"
SYSTXT_FIELD_PROCESS_SYS_03030,"転生モンスター出現率アップ"
SYSTXT_FIELD_PROCESS_SYS_03040,"メタル系出現率アップ"
SYSTXT_FIELD_PROCESS_SYS_03050,"仲間モンスター経験値２倍"
SYSTXT_FIELD_PROCESS_SYS_03060,"仲間モンスター経験値３倍"
SYSTXT_FIELD_PROCESS_SYS_03070,"{StatusName}＋{Status}"
SYSTXT_FIELD_PROCESS_SYS_03080,"{StatusName}＋{Status}％"
SYSTXT_FIELD_PROCESS_SYS_03090,"獲得ゴールド＆経験値アップ"
SYSTXT_FIELD_PROCESS_SYS_04000,"{pc}は　不思議な光に触れた。<br><lf>{pc}の身体に<lf>チカラが　わいてきた！"
SYSTXT_FIELD_PROCESS_SYS_04010,"{pc}たちは　不思議な光に触れた。<br><lf>{pc}たちの身体に<lf>チカラが　わいてきた！"
SYSTXT_FIELD_PROCESS_SYS_05010,"施設効果"
SYSTXT_FIELD_PROCESS_SYS_05020,"香水効果"
SYSTXT_FIELD_PROCESS_SYS_05030,"食事効果"
SYSTXT_FIELD_PROCESS_SYS_05040,"元気玉効果"
SYSTXT_FIELD_PROCESS_SYS_05050,"発動中の効果"
SYSTXT_FIELD_PROCESS_SYS_05060,"あと"
SYSTXT_FIELD_PROCESS_SYS_05070,"分"
SYSTXT_FIELD_PROCESS_SYS_05080,"元気玉"
SYSTXT_FIELD_PROCESS_SYS_05090,"香水"
SYSTXT_FIELD_PROCESS_SYS_05100,"食事"
SYSTXT_FIELD_PROCESS_SYS_05110,"施設"
SYSTXT_FIELD_PROCESS_SYS_05120,"バンジー"
SYSTXT_FIELD_PROCESS_SYS_05130,"1分未満"
SYSTXT_FIELD_PROCESS_SYS_06000,"朝が訪れた"
SYSTXT_FIELD_PROCESS_SYS_06010,"夜が訪れた"
