Key,SourceString
SYSTXT_MOVE_TRAIN_NPC_00010,"Welcome to the Intercontinental Railroad Corporation!\n Which station would you like to go to?\n<break>"
SYSTXT_MOVE_TRAIN_NPC_00020,"So which station do you want to go to?\n<break>"
SYSTXT_MOVE_TRAIN_NPC_00030,"I see you're quitting.\n We look forward to using you again.\n<turn_end>"
SYSTXT_MOVE_TRAIN_NPC_01010,"{Station_Name_Selected}.\n {Gold_Need}I'll give you gold.\n Are you sure?\n<yesno><break>"
SYSTXT_MOVE_TRAIN_NPC_01020,"Hey? Customer \n It seems like you don’t have enough money."
SYSTXT_MOVE_TRAIN_NPC_01030,"Hey? Customer \n It looks like you don’t have enough money again."
SYSTXT_MOVE_TRAIN_NPC_01040,"...I can't help it.\n Just this time, right?"
SYSTXT_MOVE_TRAIN_NPC_01050,"...There's absolutely nothing I can do about it.\n Just this time, right?"
SYSTXT_MOVE_TRAIN_NPC_01060,"It's {Station_Name_Selected}.\n I'll give you {Gold_Need_Unpaid} gold along with the previous fare.\n<yesno><break>"
SYSTXT_MOVE_TRAIN_NPC_02010,"Take care then.\n Have a nice journey!\n<turn_end>"
SYSTXT_MOVE_TRAIN_NPC_03010,"What...Are you going?\n<br>\n``I don't know the details, but to that destination\n Only the people of Ethene can guide you. \n I heard that.\n<br>\n``If you are not a human, we cannot guide you.\n Please choose another destination.\n<break>"
SYSTXT_MOVE_TRAIN_NPC_03020,"Are you sure you want to go?\n<yesno><break>"
SYSTXT_MOVE_TRAIN_NPC_03030,"Good job.\n Then go here.\n<turn_end>"
SYSTXT_MOVE_TRAIN_NPC_04010,"Go to {Station_Name_Selected}.\n<turn_end>"
SYSTXT_MOVE_TRAIN_NPC_05010,"Welcome home, {PC}.\n Would you like to return to your own time?\n<yesno><break>"
SYSTXT_MOVE_TRAIN_NPC_05020,"Good job.\n Have a nice trip.\n<turn_end>"
SYSTXT_MOVE_TRAIN_NPC_05030,"Thank you very much.\n If you want to go home, please feel free to call me anytime.\n<turn_end>"
SYSTXT_MOVE_TRAIN_NPC_06010,"Oh? It seems that Mr. {PC} is not authorized to use \n trains in our country.\n Unfortunately, you cannot board at this station.\n<turn_end>"
SYSTXT_MOVE_TRAIN_NPC_06020,"Welcome to the Intercontinental Railroad Corporation!\n<br>\n Oh? It looks like you don't have an \n Intercontinental Railroad Pass. \n Unfortunately, you won't be able to board..."
