Key,SourceString
SYSTXT_TITLE_DLCTXT_00010,"Super Deluxe Edition Bonus"
SYSTXT_TITLE_DLCTXT_00020,"Preorder Bonus"
SYSTXT_TITLE_DLCTXT_00030,"Deluxe Edition Bonus"
SYSTXT_TITLE_DLCTXT_00040,"PlayStation® Bonus（Metal Prince Prism）"
SYSTXT_TITLE_DLCTXT_00050,"PlayStation® Bonus（Lunatick Prism）"
SYSTXT_TITLE_DLCTXT_00060,"Download Bonus"
SYSTXT_TITLE_DLCTXT_00070,"Preorder Bonus"
SYSTXT_TITLE_DLCTXT_00080,"Lawson Loppi・HMV Order Bonus"
SYSTXT_TITLE_DLCTXT_00090,"Amazon Order Bonus"
SYSTXT_TITLE_DLCTXT_00100,"Square-Enix e-STORE Order Bonus"
SYSTXT_TITLE_DLCTXT_01010,"Super Deluxe Edition Bonus"
SYSTXT_TITLE_DLCTXT_01020,"Preorder Bonus"
SYSTXT_TITLE_DLCTXT_01030,"Deluxe Edition Bonus"
SYSTXT_TITLE_DLCTXT_01040,"Download Bonus"
SYSTXT_TITLE_DLCTXT_01050,"Lawson Loppi・HMV Order Bonus"
SYSTXT_TITLE_DLCTXT_01060,"Amazon Order Bonus"
SYSTXT_TITLE_DLCTXT_01070,"Square-Enix e-STORE Order Bonus"
SYSTXT_TITLE_DLCTXT_02010,"Preorder Bonus"
SYSTXT_TITLE_DLCTXT_02020,"Deluxe Edition Bonus"
SYSTXT_TITLE_DLCTXT_02030,"Download Bonus"
SYSTXT_TITLE_DLCTXT_02040,"Steam® Order Bonus"
SYSTXT_TITLE_DLCTXT_02050,"Square-Enix e-STORE Order Bonus"
SYSTXT_TITLE_DLCTXT_03010,"Adventure Step-Up Set"
SYSTXT_TITLE_DLCTXT_03020,"Bang-On Adventure Set"
SYSTXT_TITLE_DLCTXT_03030,"Adventure Challenge Set"
SYSTXT_TITLE_DLCTXT_03040,"All-Out Adventure Set 1"
SYSTXT_TITLE_DLCTXT_03045,"All-Out Adventure Set 2"
SYSTXT_TITLE_DLCTXT_03050,"Super Loiterer Adventure Guide Order Bonus"
SYSTXT_TITLE_DLCTXT_03060,"V Jump DQX Offline Bonus 1"
SYSTXT_TITLE_DLCTXT_03070,"V Jump DQX Offline Bonus 2"
SYSTXT_TITLE_DLCTXT_10010,"Bonus can be received from Super Deluxe Edition purchase."
SYSTXT_TITLE_DLCTXT_10020,"Bonus can be received from month-one purchase."
SYSTXT_TITLE_DLCTXT_10030,"Bonus can be received from Super Deluxe Edition or Deluxe Edition<lf>purchase."
SYSTXT_TITLE_DLCTXT_10040,"Bonus can be received from PlayStation®5 Edition・PlayStation®4 Edition<lf>Super Deluxe Edition or Deluxe Edition<lf>purchase."
SYSTXT_TITLE_DLCTXT_10050,"Bonus can be received from PlayStation®5 Edition・PlayStation®4 Edition<lf>Standard Edition・Deluxe Edition・Super Deluxe Edition<lf>purchase."
SYSTXT_TITLE_DLCTXT_10060,"Bonus can be received from Download Edition or <lf>Super Deluxe Edition purchase."
SYSTXT_TITLE_DLCTXT_10070,"Bonus can be received from PlayStation™ Store Preorder purchase."
SYSTXT_TITLE_DLCTXT_10080,"Bonus can be received from Lawson Loppi・HMV purchase."
SYSTXT_TITLE_DLCTXT_10090,"Bonus can be received from Amazon purchase."
SYSTXT_TITLE_DLCTXT_10100,"Bonus can be received from Square-Enix e-STORE<lf>purchase."
SYSTXT_TITLE_DLCTXT_11010,"Bonus can be received from Super Deluxe Edition purchase."
SYSTXT_TITLE_DLCTXT_11020,"Bonus can be received from month-one purchase."
SYSTXT_TITLE_DLCTXT_11030,"Bonus can be received from Super Deluxe Edition or Deluxe Edition<lf>purchase."
