Key,SourceString
SYSTXT_PARTY_MAIN_00010,"Change Line-Up"
SYSTXT_PARTY_MAIN_00020,"Battle Party"
SYSTXT_PARTY_MAIN_00030,"No."
SYSTXT_PARTY_MAIN_00040,"Standby"
SYSTXT_PARTY_MAIN_00050,"Guest"
SYSTXT_PARTY_MAIN_00060,"Check Status"
SYSTXT_PARTY_MAIN_00070,"Status (Battle Party)"
SYSTXT_PARTY_MAIN_00080,"Status (Standby)"
SYSTXT_PARTY_MAIN_00090,"Status (Guest)"
SYSTXT_PARTY_MAIN_00100,"(Normal)"
SYSTXT_PARTY_MAIN_00110,"This member cannot battle!"
SYSTXT_PARTY_MAIN_10010,"From this point forward, {Character_Name_PTforce} needs to be\nadded to the battle line-up.\n<br>\nAlso, during the battle you cannot remove {Character_Name_PTforce}\nfrom the battle line-up."
SYSTXT_PARTY_MAIN_10011,"From this point forward,\n{Character_Name_PTforce}, and {Character_Name_PTforce_2}\nneed to be added to the battle line-up.\n<br>\nAlso, during the battle you cannot remove\n{Character_Name_PTforce} and {Character_Name_PTforce_2}\nfrom the battle line-up."
SYSTXT_PARTY_MAIN_10012,"From this point forward,\n<auto_br=5000>\n{Character_Name_PTforce}, {Character_Name_PTforce_2},\nand {Character_Name_PTforce_3}\nneed to be added to the battle line-up.\n<br>\nAlso, during the battle you cannot remove\n{Character_Name_PTforce}, {Character_Name_PTforce_2},\nand {Character_Name_PTforce_3} from the battle line-up."
SYSTXT_PARTY_MAIN_10013,"From this point forward,\n<auto_br=5000>\n{Character_Name_PTforce}, {Character_Name_PTforce_2},\n{Character_Name_PTforce_3}, and {Character_Name_PTforce_4}\nneed to be added to the battle line-up.\n<br>\nAlso, during the battle you cannot remove\n{Character_Name_PTforce}, {Character_Name_PTforce_2},\n{Character_Name_PTforce_3}, and {Character_Name_PTforce_4}\n<auto_br=5000>\nfrom the battle line-up."
SYSTXT_PARTY_MAIN_11010,"Is this line-up acceptable?\n<yesno><break>"
SYSTXT_PARTY_MAIN_11020,"Please add to the battle line-up:\n{Character_Name_PTforce}."
SYSTXT_PARTY_MAIN_11021,"Please add to the battle line-up:\n{Character_Name_PTforce} and {Character_Name_PTforce2}."
SYSTXT_PARTY_MAIN_11022,"Please add to the battle line-up:\n{Character_Name_PTforce}, {Character_Name_PTforce2},\nand {Character_Name_PTforce3}."
SYSTXT_PARTY_MAIN_11023,"Please add to the battle line-up:\n{Character_Name_PTforce}, {Character_Name_PTforce2},\n{Character_Name_PTforce3}, and {Character_Name_PTforce4}."
SYSTXT_PARTY_MAIN_11030,"Cannot remove {Character_Name_PTforce_Select}\nfrom the battle line-up."
