Key,SourceString
Content_ID_TIPS_BASIC_00010,"Use \n<emoji FaceButton_Right> when talking to people or investigating things. \n \nA cursor will appear when you get close to something that can be investigated, so \nhe will use it as a guide to investigate various things."
Content_ID_TIPS_BASIC_00020,"If you are out on an adventure and \n don't know where to go, \n look at the map and see if anyone has a pink <emoji Fukidashi_Icon>. \nYou can listen to his hints about your next destination. \n\nThe map around you is displayed at the bottom left of the screen. \nYou can also see a wider map with <emoji FaceButton_Left>."
Content_ID_TIPS_BASIC_00030,"There are places in fields and towns that you can \nmove by climbing up and down using ropes, ladders, etc. \n\nLet's take a closer look."
Content_ID_TIPS_BASIC_00040,"If you find a shiny place in the field, \nyou can get an item, so let's investigate. \n \nWhen you pick up the glitter, it disappears, but \n as you move around the map or as time passes, \n it will respawn and he will be able to pick it up again."
Content_ID_TIPS_BASIC_00050,"By \ngoing to the priest or sister of the church, you can record your \nadventures in your adventure book. \n \nIf you record, you can resume the adventure from where you left off, so \nMake sure to follow her frequently."
Content_ID_TIPS_BASIC_00060,"Auto-save may \n occur while adventuring. \n\nDo not turn off the power or \nreset while 'Auto Saved' is displayed at the bottom right of the screen. \n\nEven if you forget to record things in your adventure book and interrupt the adventure, you can resume the adventure from \nautosave."
Content_ID_TIPS_BASIC_00070,"Up to 4 people can participate in a battle.\nThese members are called battle members. \nA companion who does not participate in battle is called standby, and \n can be replaced using ''Replacement'' in ''Sakusen''. \n\nEven if you are on standby, you will receive the same amount of experience points. \nChange the combination of battle members for her depending on the status of the monsters and allies you fight."
Content_ID_TIPS_BASIC_00080,"You can control the camera direction with <emoji RightStick>. \nIf you want to \norient the camera in the direction the character is facing, press the <emoji RightStickButton>."
Content_ID_TIPS_BASIC_00090,"If you press <emoji LeftShoulder> in the field or town, you can \n automatically keep running in the direction you are facing. \n\nWhile running, you can change the running direction with <emoji LeftStick> and jump with \n<emoji FaceButton_Bottom>."
Content_ID_TIPS_BASIC_00100,"Press <emoji LeftTrigger> in the field to ride the \n dollar board. \nYou can move much faster than walking, so \nuse it when traveling long distances. \n\nPress <emoji LeftTrigger> while on the Dollar Board to get off the \nDollar Board."
Content_ID_TIPS_BASIC_00110,"Press <emoji RightTrigger> in a field or town to open the \nhandy menu. \nYou can select some of her important things and her commands."
Content_ID_TIPS_BASIC_00120,"In ''System Settings'' of ''Sakusen'', you can configure various settings within the \n game. \nWhen you want to change the initial settings, \nAuto save settings, etc."
Content_ID_TIPS_BASIC_00130,"As you go on an adventure, your friends may join you. \nThere are friends who join you temporarily and friends who will fight with you forever after \n. \n \nTemporary companions will not be able to recruit her, \n will not grow, nor will they be able to change equipment or acquire her skills. \n\nThe companions who will be with you all the time will gain experience points and level up \n by winning battles, just like the main character. \nAs her level increases, you will get skill points for her, so \nset up the skill panel and grow her. \n\nYou can also change your allies' weapons and armor. \nUnlike the main character, your appearance will not change according to your armor, but \nweapons and armor will still be effective, so don't forget to strengthen your allies. \n\nIf you can get stylish equipment for your companions somewhere, \n you can change its appearance from the equipment screen. \nPlease look for it."
Content_ID_TIPS_MENU_00010,"If you select ''Mantan'' on the menu screen, \nUse MP efficiently to fully recover everyone's HP. \n\nIf you remember a spell that can cure abnormal conditions, \nyou can revive your allies who are attacking you, and \n you can also recover from abnormal conditions such as poison. \n\nAlso, if you select ''Almost Mantan'' from ''Sakusen'', \nHP will recover almost instantly and \n conserve MP. \n\nUse them so that the MP is about the same, but \nIf you run out of MP in the middle, \nyou will only be able to recover up to that point. \n\nIf you press the <emoji FaceButton_Left> button while the menu screen is open, \nyou can also recover ''almost instantly''."
Content_ID_TIPS_MENU_00020,"While adventuring, \nyou can get various items. \n\nItems are 'tools' that gain effects when used, \n'equipment' that gain effects when worn, \nand 'materials' for making tools and equipment. It can be divided into lf>. \n\nAdditionally, items that are particularly important to the adventure are \n kept as ''important things'' and \n cannot be thrown away or sold. \n\nOther Some items are automatically stored \ninto your 'Other Bag'."
Content_ID_TIPS_MENU_00030,"If you select 'Tools' on the menu screen, you can \nsee the details of the items you have and \nuse them. \nItems with \neffects can be used by selecting the \nitem in this menu and confirming it with ''Use''. \n\nIf you don't have enough items to carry, select the \nitem from this menu and press ''Discard'' to discard it. \n\nThere is a limit to the number of items that can be stored in your 'Usable Items,' but as you go on an adventure, you may be able to increase the number you can carry."
