Key,SourceString
PA_ACTION_NO_AGEHARANBU,"Butterfly Bop"
PA_ACTION_NO_AGEHARANBU_URA,"Butterfly Bop"
PA_ACTION_NO_AINOMUTI,"Lashings of Love"
PA_ACTION_NO_AKUMABARAI,"Beelzefreeze"
PA_ACTION_NO_AMAI_IKI,"Sweet Breath"
PA_ACTION_NO_ANKOKUNOKAZE,"Dark Wind"
PA_ACTION_NO_ANKOKUNOKIRI,"Dark Fog"
PA_ACTION_NO_ANKOKUNOKIRI_ASU,"Dark Fog"
PA_ACTION_NO_ASB_DAJARE_1,"Pun 1"
PA_ACTION_NO_ASB_DAJARE_10,"Pun 10"
PA_ACTION_NO_ASB_DAJARE_11,"Pun 11"
PA_ACTION_NO_ASB_DAJARE_12,"Pun 12"
PA_ACTION_NO_ASB_DAJARE_13,"Pun 13"
PA_ACTION_NO_ASB_DAJARE_14,"Pun 14"
PA_ACTION_NO_ASB_DAJARE_15,"Pun 15"
PA_ACTION_NO_ASB_DAJARE_16,"Pun 16"
PA_ACTION_NO_ASB_DAJARE_17,"Pun 17"
PA_ACTION_NO_ASB_DAJARE_18,"Pun 18"
PA_ACTION_NO_ASB_DAJARE_19,"Pun 19"
PA_ACTION_NO_ASB_DAJARE_2,"Pun 2"
PA_ACTION_NO_ASB_DAJARE_20,"Pun 20"
PA_ACTION_NO_ASB_DAJARE_21,"Pun 21"
PA_ACTION_NO_ASB_DAJARE_22,"Pun 22"
PA_ACTION_NO_ASB_DAJARE_23,"Pun 23"
PA_ACTION_NO_ASB_DAJARE_24,"Pun 24"
PA_ACTION_NO_ASB_DAJARE_25,"Pun 25"
PA_ACTION_NO_ASB_DAJARE_26,"Pun 26"
PA_ACTION_NO_ASB_DAJARE_27,"Pun 27"
PA_ACTION_NO_ASB_DAJARE_28,"Pun 28"
PA_ACTION_NO_ASB_DAJARE_29,"Pun 29"
PA_ACTION_NO_ASB_DAJARE_3,"Pun 3"
PA_ACTION_NO_ASB_DAJARE_30,"Pun 30"
PA_ACTION_NO_ASB_DAJARE_31,"Pun 31"
PA_ACTION_NO_ASB_DAJARE_32,"Pun 32"
PA_ACTION_NO_ASB_DAJARE_33,"Pun 33"
PA_ACTION_NO_ASB_DAJARE_34,"Pun 34"
PA_ACTION_NO_ASB_DAJARE_35,"Pun 35"
PA_ACTION_NO_ASB_DAJARE_36,"Pun 36"
PA_ACTION_NO_ASB_DAJARE_37,"Pun 37"
PA_ACTION_NO_ASB_DAJARE_38,"Pun 38"
PA_ACTION_NO_ASB_DAJARE_39,"Pun 39"
PA_ACTION_NO_ASB_DAJARE_4,"Pun 4"
PA_ACTION_NO_ASB_DAJARE_40,"Pun 40"
PA_ACTION_NO_ASB_DAJARE_5,"Pun 5"
PA_ACTION_NO_ASB_DAJARE_6,"Pun 6"
PA_ACTION_NO_ASB_DAJARE_7,"Pun 7"
PA_ACTION_NO_ASB_DAJARE_8,"Pun 8"
PA_ACTION_NO_ASB_DAJARE_9,"Pun 9"
PA_ACTION_NO_ASB_GURUGURU,"Round n' Round"
PA_ACTION_NO_ASB_HAGEMASU_BAISI,"Hagemasu bye"
PA_ACTION_NO_ASB_HAGEMASU_PIORIMU,"Hagemasu Piori"
PA_ACTION_NO_ASB_HAGEMASU_SUKURUTO,"Hagemasu Skuruto"
PA_ACTION_NO_ASB_ISI,"Stone"
PA_ACTION_NO_ASB_KAIDAN,"Ghost Stories"
PA_ACTION_NO_ASB_KANASIBARI,"Bound"
PA_ACTION_NO_ASB_KOROBU_KAISIN,"Fall Critical"
PA_ACTION_NO_ASB_KOROBU_MISS,"Fall"
PA_ACTION_NO_ASB_KUSYAMI,"Sneeze"
PA_ACTION_NO_ASB_MAMORU,"Protect"
PA_ACTION_NO_ASB_MEISOU,"Meditation"
PA_ACTION_NO_ASB_OMOITUKI,"An idea"
PA_ACTION_NO_ASB_OOGOE,"Loud"
PA_ACTION_NO_ASB_OTEDAMA,"A bean bag"
PA_ACTION_NO_ASB_OTEDAMA_MY,"Otedama himself"
PA_ACTION_NO_ASB_TAORERU,"Fall down"
PA_ACTION_NO_ASB_TAPDANCE,"Tap Dance"
PA_ACTION_NO_ASB_WARUGUTI_HENA,"Waruguti Henatos"
PA_ACTION_NO_ASB_WARUGUTI_RUKANI,"Rukani"
PA_ACTION_NO_ASB_YASASII,"Kindness"
PA_ACTION_NO_ASIBARAI,"Leg Sweep"
PA_ACTION_NO_ASOBU,"Lucky Dip"
PA_ACTION_NO_ASOBU_1,"Lucky Dip"
PA_ACTION_NO_ASOBU_10,"Lucky Dip"
PA_ACTION_NO_ASOBU_11,"Lucky Dip"
PA_ACTION_NO_ASOBU_12,"Lucky Dip"
PA_ACTION_NO_ASOBU_13,"Lucky Dip"
PA_ACTION_NO_ASOBU_14,"Lucky Dip"
PA_ACTION_NO_ASOBU_15,"Lucky Dip"
